timestamp,accel_x,accel_y,accel_z
1637208703678,89.381,-12.2855,-23.2922
1637208703694,91.2509,-11.931,-25.3287
1637208703710,92.1235,-12.0019,-25.8742
1637208703724,93.7975,-12.7287,-28.4562
1637208703740,94.6523,-12.7465,-27.9289
1637208703756,95.7208,-11.9487,-25.5105
1637208703770,95.1331,-12.0196,-24.5105
1637208703786,97.1277,-9.52,-27.6743
1637208703802,98.9976,-8.9527,-30.929
1637208703818,100.1373,-10.0873,-31.82
1637208703832,100.8497,-10.69,-31.1472
1637208703848,101.8648,-11.1509,-32.2928
1637208703864,103.6634,-11.6828,-33.0201
1637208703878,113.6362,-10.0695,-30.6563
1637208703894,128.5954,-8.7399,-30.2563
1637208703910,142.4326,-7.8358,-34.2565
1637208703924,140.8298,-4.5561,-38.4749
1637208703940,124.3925,-3.9711,-35.5657
1637208703956,109.3622,-5.017,-27.2379
1637208703970,100.7784,-5.6552,-23.8741
1637208703986,91.3221,-6.0098,-14.7281
1637208704002,78.4109,-7.5699,-4.0002
1637208704016,69.3642,-9.7682,4.3093
1637208704032,66.8176,-10.0163,11.4007
1637208704048,73.193,-7.4635,17.3646
1637208704062,86.1933,-5.6198,15.0736
1637208704078,99.9058,-6.6835,5.5094
1637208704094,105.9785,-8.864,-5.6367
1637208704108,106.8511,-8.7045,-12.6371
1637208704124,107.2073,-8.2613,-13.7099
1637208704140,105.8004,-7.3926,-11.1461
1637208704154,105.2128,-8.279,-10.4733
1637208704170,103.6456,-9.9809,-9.1278
1637208704186,100.262,-11.7182,-9.7642
1637208704202,96.6469,-12.6933,-11.2916
1637208704216,95.2756,-13.296,-12.6189
1637208704232,93.2276,-12.5692,-13.7644
1637208704248,91.3399,-11.0446,-14.2735
1637208704262,90.3605,-8.1904,-13.0553
1637208704278,89.6837,-6.7012,-13.9281
1637208704294,90.6988,-5.5666,-13.1644
1637208704308,91.981,-5.7262,-12.8553
1637208704324,95.2044,-6.7721,-16.5828
1637208704340,96.8249,-7.9244,-19.292
1637208704354,97.7866,-10.0695,-18.001
1637208704370,98.1962,-11.3637,-16.9101
1637208704386,98.3209,-10.5659,-17.6919
1637208704400,100.0127,-8.9172,-20.7466
1637208704416,102.1675,-9.1299,-20.0375
1637208704432,103.9127,-11.3991,-20.1648
1637208704446,105.4087,-13.8456,-18.8193
1637208704462,106.869,-14.7497,-19.0193
1637208704478,108.169,-13.8811,-19.8011
1637208704492,112.1403,-12.3742,-22.0376
1637208704508,119.0322,-10.4418,-27.2743
1637208704524,123.0035,-11.5941,-31.1109
1637208704538,120.5459,-15.3702,-31.0927
1637208704554,115.8088,-18.774,-28.3289
1637208704570,110.1457,-18.5967,-29.3653
1637208704586,103.0579,-18.1535,-29.8381
1637208704600,94.2605,-18.7385,-29.9835
1637208704616,79.6041,-22.6387,-26.8743
1637208704632,64.6093,-24.4292,-19.892
1637208704646,58.0558,-20.4582,-11.2916
